Codigo,SubElemento,Pago,RP_Pago
4572,33903948,"R$ 0,00","R$ 0,00"
20RK,33903948,"R$ 0,00","R$ 0,00"
20RK,33903948,"R$ 0,00","R$ 1.000,00"
20RK,33903948,"R$ 0,00","R$ 0,00"
20RK,33903948,"R$ 3.890,00","R$ 0,00"
20RK,33903950,"R$ 0,00","R$ 0,00"
4572,33903951,"R$ 0,00","R$ 0,00"
20RK,33903957,"R$ 0,00","R$ 70.135,31"
20RK,33903957,"R$ 0,00","R$ 0,00"
4572,33903958,"R$ 7.805,93","R$ 0,00"
8282,33903958,"R$ 231.816,82","R$ 0,00"
20RK,33903958,"R$ 137.980,68","R$ 0,00"
20RK,33903958,"R$ 0,00","R$ 122.143,31"
20RK,33903958,"R$ 0,00","R$ 0,00"
20RK,33903958,"R$ 1.113.209,42","R$ 0,00"
4002,33903959,"R$ 0,00","R$ 0,00"
20RK,33903959,"R$ 0,00","R$ 2.800,00"
20RK,33903959,"R$ 18.914,00","R$ 0,00"
20RK,33903962,"R$ 0,00","R$ 0,00"
8282,33903963,"R$ 23.384,13","R$ 0,00"
20GK,33903963,"R$ 0,00","R$ 0,00"
20RK,33903963,"R$ 0,00","R$ 0,00"
20RK,33903963,"R$ 12.098,00","R$ 0,00"
20RK,33903963,"R$ 0,00","R$ 171.642,90"
20RK,33903963,"R$ 98.969,31","R$ 0,00"
20RK,33903963,"R$ 6.650,00","R$ 0,00"
20GK,33903965,"R$ 0,00","R$ 111.365,00"
20GK,33903965,"R$ 0,00","R$ 2.000.000,00"
20GK,33903965,"R$ 0,00","R$ 2.548.000,00"
20GK,33903965,"R$ 0,00","R$ 0,00"
20GK,33903965,"R$ 900.000,00","R$ 0,00"
20GK,33903965,"R$ 250.000,00","R$ 0,00"
20GK,33903965,"R$ 0,00","R$ 0,00"
20GK,33903965,"R$ 0,00","R$ 0,00"
20RK,33903965,"R$ 0,00","R$ 0,00"
20RK,33903965,"R$ 10.999.923,00","R$ 0,00"
20RK,33903965,"R$ 1.000.000,00","R$ 0,00"
8282,33903969,"R$ 1.235,40","R$ 0,00"
20RK,33903969,"R$ 0,00","R$ 2.213,20"
20RK,33903969,"R$ 2.813,51","R$ 700,84"
20RK,33903969,"R$ 9.068,47","R$ 0,00"
20RK,33903969,"R$ 18.800,00","R$ 0,00"
4572,33903974,"R$ 0,00","R$ 0,00"
20RK,33903974,"R$ 0,00","R$ 38.847,60"
20RK,33903974,"R$ 255,80","R$ 0,00"
20RK,33903977,"R$ 0,00","R$ 0,00"
4572,33903978,"R$ 0,00","R$ 0,00"
8282,33903978,"R$ 36.603,06","R$ 0,00"
20RK,33903978,"R$ 6.455,40","R$ 0,00"
20RK,33903978,"R$ 0,00","R$ 21.414,49"
20RK,33903978,"R$ 64.927,04","R$ 0,00"
20RK,33903978,"R$ 30.000,00","R$ 0,00"
20RK,33903979,"R$ 0,00","R$ 0,00"
20RK,33903979,"R$ 0,00","R$ 10.500,00"
20RK,33903979,"R$ 144.242,00","R$ 0,00"
20RK,33903992,"R$ 0,00","R$ 0,00"
20RK,33903992,"R$ 0,00","R$ 0,00"
20RK,33903996,"R$ 0,00","R$ 0,00"
20GK,33903997,"R$ 0,00","R$ 42.663,97"
4009,33903998,"R$ 0,00","R$ 3.635,81"
4572,33903998,"R$ 0,00","R$ 0,00"
8282,33903998,"R$ 0,00","R$ 0,00"
20RK,33904011,"R$ 0,00","R$ 0,00"
20RK,33904011,"R$ 169.076,40","R$ 0,00"
20RK,33904012,"R$ 0,00","R$ 0,00"
20RK,33904012,"R$ 8.895,00","R$ 0,00"
20RK,33904013,"R$ 74.192,67","R$ 0,00"
20RK,33904020,"R$ 0,00","R$ 0,00"
20RK,33904021,"R$ 350,00","R$ 0,00"
4572,33904023,"R$ 0,00","R$ 0,00"
20RK,33904023,"R$ 10.901,48","R$ 0,00"
20RK,33904702,"R$ 0,00","R$ 4.371,00"
20RK,33904702,"R$ 51.339,08","R$ 0,00"
20RK,33904710,"R$ 0,00","R$ 0,00"
20RK,33904710,"R$ 1.418,96","R$ 0,00"
20RK,33904715,"R$ 0,00","R$ 4.500,00"
20RK,33904715,"R$ 372,50","R$ 0,00"
20RK,33904722,"R$ 0,00","R$ 1.206,23"
20RK,33904722,"R$ 41.552,99","R$ 0,00"
20RK,33909233,"R$ 0,00","R$ 0,00"
20RK,33909236,"R$ 0,00","R$ 0,00"
20RK,33909236,"R$ 0,00","R$ 0,00"
20RK,33909236,"R$ 1.819,85","R$ 0,00"
20RK,33909236,"R$ 197.206,52","R$ 0,00"
20RK,33909237,"R$ 222.657,48","R$ 0,00"
4572,33909239,"R$ 0,00","R$ 0,00"
20RK,33909239,"R$ 0,00","R$ 0,00"
20RK,33909239,"R$ 0,00","R$ 0,00"
20RK,33909239,"R$ 559.113,77","R$ 0,00"
20RK,33909240,"R$ 15.745,26","R$ 0,00"
20RK,33909247,"R$ 0,00","R$ 0,00"
20RK,33909293,"R$ 0,00","R$ 0,00"
20RK,33909302,"R$ 0,00","R$ 0,00"
20RK,33909302,"R$ 0,00","R$ 0,00"
20RK,33909302,"R$ 1.800,79","R$ 0,00"
20RK,33909307,"R$ 5.640,83","R$ 0,00"
216H,33909307,"R$ 24.000,00","R$ 0,00"
4572,33909311,"R$ 166.709,96","R$ 0,00"
4572,33909311,"R$ 145.091,63","R$ 0,00"
4572,33909314,"R$ 1.061,22","R$ 0,00"
8282,33913901,"R$ 0,00","R$ 8.551,50"
20RK,33913901,"R$ 23.326,24","R$ 0,00"
20RK,33913901,"R$ 66.195,00","R$ 0,00"
4572,33913948,"R$ 0,00","R$ 0,00"
4572,33913948,"R$ 0,00","R$ 0,00"
4572,33913948,"R$ 0,00","R$ 500,00"
20RK,33913948,"R$ 868,00","R$ 0,00"
4572,33913990,"R$ 0,00","R$ 48.299,66"
20GK,33914712,"R$ 0,00","R$ 0,00"
20RK,33914712,"R$ 1.824.102,04","R$ 0,00"
20RK,33914718,"R$ 0,00","R$ 0,00"
20RK,33914718,"R$ 0,00","R$ 0,00"
20RK,33914718,"R$ 5.143,42","R$ 0,00"
20RK,33914718,"R$ 17.141,59","R$ 0,00"
20RK,33919247,"R$ 0,00","R$ 0,00"
20RK,33919247,"R$ 0,00","R$ 0,00"
20RK,33919247,"R$ 363,97","R$ 0,00"
8282,44904005,"R$ 0,00","R$ 0,00"
20RK,44904005,"R$ 49.850,00","R$ 0,00"
8282,44904006,"R$ 0,00","R$ 0,00"
8282,44905180,"R$ 0,00","R$ 0,00"
8282,44905191,"R$ 0,00","R$ 1.159.195,04"
8282,44905191,"R$ 81.143,23","R$ 0,00"
8282,44905191,"R$ 0,00","R$ 2.700.000,00"
8282,44905191,"R$ 0,00","R$ 150.000,00"
8282,44905191,"R$ 0,00","R$ 250.000,00"
20RK,44905191,"R$ 0,00","R$ 2.224.570,00"
20RK,44905191,"R$ 0,00","R$ 516.955,80"
20RK,44905191,"R$ 617.485,60","R$ 0,00"
20RK,44905191,"R$ 0,00","R$ 244.867,26"
20RK,44905191,"R$ 0,00","R$ 400.000,00"
8282,44905192,"R$ 651.806,88","R$ 0,00"
8282,44905192,"R$ 0,00","R$ 0,00"
20RK,44905192,"R$ 342,10","R$ 0,00"
4009,44905198,"R$ 0,00","R$ 0,00"
4009,44905198,"R$ 0,00","R$ 1.069.822,30"
4009,44905198,"R$ 0,00","R$ 0,00"
4009,44905198,"R$ 0,00","R$ 0,00"
4009,44905198,"R$ 0,00","R$ 0,00"
119T,44905198,"R$ 0,00","R$ 8.500.000,00"
20RK,44905206,"R$ 0,00","R$ 7.419,92"
8282,44905208,"R$ 0,00","R$ 45.000,00"
8282,44905208,"R$ 7.532,83","R$ 0,00"
20GK,44905208,"R$ 0,00","R$ 0,00"
20RK,44905208,"R$ 0,00","R$ 0,00"
20RK,44905208,"R$ 0,00","R$ 0,00"
20RK,44905208,"R$ 0,00","R$ 3.530,00"
20RK,44905208,"R$ 203.341,35","R$ 0,00"
8282,44905212,"R$ 0,00","R$ 22.030,00"
20RK,44905212,"R$ 0,00","R$ 32.916,90"
20RK,44905212,"R$ 0,00","R$ 0,00"
20RK,44905212,"R$ 20.274,87","R$ 0,00"
20RK,44905218,"R$ 0,00","R$ 0,00"
20RK,44905218,"R$ 0,00","R$ 0,00"
20RK,44905218,"R$ 3.279,92","R$ 0,00"
20RK,44905224,"R$ 0,00","R$ 0,00"
20RK,44905228,"R$ 0,00","R$ 0,00"
20RK,44905232,"R$ 0,00","R$ 550,00"
20RK,44905233,"R$ 11.830,36","R$ 0,00"
20RK,44905234,"R$ 0,00","R$ 0,00"
8282,44905235,"R$ 0,00","R$ 0,00"
8282,44905235,"R$ 0,00","R$ 0,00"
8282,44905235,"R$ 0,00","R$ 0,00"
20GK,44905235,"R$ 0,00","R$ 0,00"
20RK,44905235,"R$ 0,00","R$ 85.600,00"
20RK,44905235,"R$ 0,00","R$ 0,00"
20RK,44905235,"R$ 410.578,96","R$ 0,00"
20RK,44905235,"R$ 0,00","R$ 4.582,74"
20RK,44905239,"R$ 5.133,33","R$ 0,00"
20GK,44905241,"R$ 0,00","R$ 0,00"
8282,44905242,"R$ 0,00","R$ 0,00"
8282,44905242,"R$ 2.600,00","R$ 0,00"
8282,44905242,"R$ 0,00","R$ 0,00"
20GK,44905242,"R$ 0,00","R$ 0,00"
20RK,44905242,"R$ 0,00","R$ 5.826,62"
20RK,44905242,"R$ 2.981,22","R$ 0,00"
20RK,44905242,"R$ 65.091,15","R$ 0,00"
20GK,44905245,"R$ 0,00","R$ 0,00"
20RK,44905245,"R$ 13.233,00","R$ 0,00"
20RK,44905247,"R$ 236,70","R$ 0,00"
20RK,44905251,"R$ 0,00","R$ 1.199,00"
20RK,44905251,"R$ 5.905,31","R$ 0,00"
20RK,44905257,"R$ 4.172,18","R$ 0,00"
4009,44905298,"R$ 0,00","R$ 0,00"
4086,44905298,"R$ 0,00","R$ 0,00"
6368,44905298,"R$ 0,00","R$ 0,00"
119T,44905298,"R$ 0,00","R$ 0,00"
20RK,44913981,"R$ 142,00","R$ 0,00"
