Codigo,Despesa,UO,orgao_ug_desp,UG,ug_desp,Valor,NaoProc
33903030,MATERIAL PARA COMUNICACOES,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 1.724,92"
33903035,MATERIAL LABORATORIAL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 12.665,33","R$ 38.443,20"
33903044,MATERIAL DE SINALIZACAO VISUAL E OUTROS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 7.600,00","R$ 0,00"
33903050,"BANDEIRAS, FLAMULAS E INSIGNIAS",26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 5.380,00","R$ 0,00"
33903301,PASSAGENS PARA O PAIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 114.635,06","R$ 10.371,78"
33903302,PASSAGENS PARA O EXTERIOR,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 44.762,83","R$ 0,00"
33903504,CONSULTORIA EM TECNOLOGIA DA INFORMACAO E COMUNICACAO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 17.564,90","R$ 0,00"
33903628,GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 113.829,98","R$ 104.862,32"
33903701,"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL",26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 330.531,29","R$ 104.794,51"
33903702,LIMPEZA E CONSERVACAO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 644.008,19","R$ 0,00"
33903703,VIGILANCIA OSTENSIVA,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 782.342,21","R$ 0,00"
33903798,INSCRICAO DE RESTOS A PAGAR - LOCACAO DE MAO-DE-OBRA,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 114.391,17","R$ 0,00"
33903901,ASSINATURAS DE PERIODICOS E ANUIDADES,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 8.979,50","R$ 5.125,78"
33903902,CONDOMINIOS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 39.138,21","R$ 893,15"
33903903,COMISSOES E CORRETAGENS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 14.775,54","R$ 0,00"
33903905,SERVICOS TECNICOS PROFISSIONAIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 1.386,66"
33903912,LOCACAO DE MAQUINAS E EQUIPAMENTOS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 350,00"
33903914,LOCACAO BENS MOV. OUT.NATUREZAS E INTANGIVEIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 19.490,25","R$ 0,00"
33903916,MANUTENCAO E CONSERV. DE BENS IMOVEIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 529.193,22","R$ 170.150,97"
33903917,MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 3.220,50","R$ 978,24"
33903919,MANUTENCAO E CONSERV. DE VEICULOS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 84.681,79","R$ 4.101,54"
33903920,MANUT.E CONS.DE B.MOVEIS DE OUTRAS NATUREZAS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 2.040,00","R$ 0,00"
33903922,"EXPOSICOES, CONGRESSOS E CONFERENCIAS",26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 3.742,02"
33903936,MULTAS INDEDUTIVEIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 900,00"
33903941,FORNECIMENTO DE ALIMENTACAO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 83.336,00","R$ 0,00"
33903943,SERVICOS DE ENERGIA ELETRICA,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 334.630,12","R$ 0,00"
33903944,SERVICOS DE AGUA E ESGOTO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 145.962,16","R$ 0,00"
33903945,SERVICOS DE GAS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 18.864,42","R$ 0,00"
33903947,SERVICOS DE COMUNICACAO EM GERAL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 8.636,03","R$ 0,00"
33903948,SERVICO DE SELECAO E TREINAMENTO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 1.400,00","R$ 6.060,00"
33903951,SERVICOS DE ANALISES E PESQUISAS CIENTIFICAS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 16.696,00","R$ 0,00"
33903957,SERVICOS TECNICOS PROFISSIONAIS DE T.I.,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 7.875,00"
33903958,SERVICOS DE TELECOMUNICACOES,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 246.503,56","R$ 17.153,06"
33903959,"SERVICOS DE AUDIO, VIDEO E FOTO",26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 3.800,00","R$ 38.512,92"
33903963,SERVICOS GRAFICOS E EDITORIAIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 100,00","R$ 45.368,43"
33903965,SERVICOS DE APOIO AO ENSINO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 7.336.135,00","R$ 598,82"
33903969,SEGUROS EM GERAL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 21.948,69","R$ 9.064,24"
33903974,FRETES E TRANSPORTES DE ENCOMENDAS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 2.950,00"
33903978,LIMPEZA E CONSERVACAO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 40.012,93","R$ 5.440,83"
33903979,"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL",26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 27.824,00","R$ 0,00"
33903981,SERVICOS BANCARIOS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 0,00"
33903992,SERVICOS DE PUBLICIDADE INSTITUCIONAL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 300,00"
33903997,COMUNICACAO DE DADOS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 16.831,22","R$ 4.866,09"
33903998,INSCRICAO DE RESTOS A PAGAR - SERVICOS DE TERCEIROS PJ,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 237.297,36"
33904011,SUPORTE DE INFRAESTRUTURA DE TIC,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 163.469,72","R$ 0,00"
33904012,MANUTENCAO E CONSERVACAO DE EQUIPAMENTOS DE TIC,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 10.037,00","R$ 0,00"
33904013,COMUNICACAO DE DADOS E REDES EM GERAL,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 7.287,43","R$ 0,00"
33904601,AUXILIO-ALIMENTACAO CIVIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 647.667,54","R$ 0,00"
33904710,TAXAS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 3.779,10"
33904722,CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 447,01","R$ 0,00"
33904901,AUXILIO-TRANSPORTE CIVIS,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 248.692,54","R$ 0,00"
33905901,PENS.INDENIZ.ORIUND.DEB.PERIOD.VINC.SENT.JUD,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 954,00","R$ 0,00"
33909233,PASSAGENS E DESPESAS COM LOCOMOCAO,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 581,14"
33909236,OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA,26269,UNIVERSIDADE FEDERAL DO ESTADO RIO DE JANEIRO,154034,UNIRIO UNIVERSIDADE FEDERAL DO ESTADO RJ,"R$ 0,00","R$ 29.384,94"
